Language;Text_type;Mean;Median;Standard_deviation;texts_amount;total_length;min_length;max_length
en;Introduction;154.32022486364104;110.99802371541502;133.75745450834987;77736;11996237;4;1528
en;Body;3242.7685628280333;1547.0555555555557;4347.505587495916;77736;252079857;12;49857
en;Title;2.33562313471236;2.048786133113877;1.388248802892439;77736;181562;1;18
lv;Introduction;73.62943809817845;59.650887573964496;58.755228295418746;77736;5723658;2;1164
lv;Body;296.4757255325718;159.37719298245614;545.5656949676102;77736;23046837;3;44163
lv;Title;2.1575717814140165;1.9604348960185911;1.2420501855403352;77736;167721;1;18
