Language;Text_type;Mean;Median;Standard_deviation;texts_amount;total_length;min_length;max_length
en;Introduction;965.8850210970464;691.325;843.7200392328347;77736;75084038;18;9952
en;Body;20999.29459967068;9991.5;28264.510006059394;77736;1632401165;58;323224
en;Title;15.843650303591643;14.113507779349364;8.83190486745073;77736;1231622;1;105
lv;Introduction;550.2027760625707;447.71590909090907;433.2311782482944;77736;42770563;12;9113
lv;Body;2242.623173304518;1217.1129032258063;4086.8653718345113;77736;174332555;21;326505
lv;Title;16.10935731192755;14.137568870523417;9.821637850095081;77736;1252277;1;120
