model;type;kNN;successful_finds;recall;recall_percentage;recall_percentage_rounded
E5_large;source;1NN;51405;0.6612766285890707;66.12766285890707;66.13
E5_large;source;5NN;57156;0.7352577956159309;73.52577956159308;73.53
E5_large;source;10NN;58206;0.7487650509416487;74.87650509416487;74.88
E5_large;source;20NN;58888;0.7575383348770196;75.75383348770195;75.75
E5_large;title;1NN;37425;0.48143717196665636;48.143717196665634;48.14
E5_large;title;5NN;42613;0.5481758773283936;54.81758773283936;54.82
E5_large;title;10NN;43866;0.5642945353504168;56.42945353504169;56.43
E5_large;title;20NN;44880;0.5773386847792529;57.733868477925284;57.73
E5_small;open;1NN;50645;0.6514999485437892;65.14999485437892;65.15
E5_small;open;5NN;56909;0.7320803746012143;73.20803746012143;73.21
E5_small;open;10NN;58160;0.7481733045178554;74.81733045178554;74.82
E5_small;open;20NN;59061;0.7597638159925904;75.97638159925904;75.98
E5_small;source;1NN;28286;0.36387259442214676;36.38725944221468;36.39
E5_small;source;5NN;33219;0.4273309663476382;42.73309663476382;42.73
E5_small;source;10NN;34423;0.4428192857877946;44.281928578779464;44.28
E5_small;source;20NN;35353;0.45478285479057323;45.47828547905732;45.48
E5_small;title;1NN;35874;0.4614850262426675;46.148502624266754;46.15
E5_small;title;5NN;42401;0.5454486981578677;54.54486981578677;54.54
E5_small;title;10NN;44143;0.5678578779458681;56.78578779458681;56.79
E5_small;title;20NN;45452;0.5846969229185963;58.46969229185963;58.47
LaBSE;open;1NN;53900;0.6933724400535145;69.33724400535145;69.34
LaBSE;open;5NN;62810;0.8079911495317484;80.79911495317485;80.8
LaBSE;open;10NN;64901;0.8348898837089637;83.48898837089637;83.49
LaBSE;open;20NN;66414;0.8543531954306884;85.43531954306884;85.44
LaBSE;source;1NN;55509;0.7140707008335906;71.40707008335906;71.41
LaBSE;source;5NN;65108;0.8375527426160337;83.75527426160338;83.76
LaBSE;source;10NN;67336;0.8662138520119378;86.62138520119377;86.62
LaBSE;source;20NN;69093;0.8888159925903056;88.88159925903057;88.88
LaBSE;title;1NN;52935;0.6809586292065453;68.09586292065453;68.1
LaBSE;title;5NN;59783;0.7690516620356077;76.90516620356077;76.91
LaBSE;title;10NN;61637;0.792901615725018;79.2901615725018;79.29
LaBSE;title;20NN;63137;0.8121976947617577;81.21976947617577;81.22
LASER;open;1NN;23451;0.301674899660389;30.1674899660389;30.17
LASER;open;5NN;29381;0.37795873211896674;37.79587321189668;37.8
LASER;open;10NN;31785;0.408883914788515;40.888391478851496;40.89
LASER;open;20NN;33977;0.4370819182875373;43.708191828753726;43.71
LASER;source;1NN;8844;0.11376968200061748;11.376968200061748;11.38
LASER;source;5NN;11616;0.1494288360605125;14.94288360605125;14.94
LASER;source;10NN;12791;0.1645440979726253;16.454409797262528;16.45
LASER;source;20NN;14010;0.18022537820314913;18.022537820314913;18.02
LASER;title;1NN;38903;0.5004502418441906;50.04502418441906;50.05
LASER;title;5NN;44339;0.5703792322733354;57.03792322733354;57.04
LASER;title;10NN;45816;0.5893794380981785;58.93794380981785;58.94
LASER;title;20NN;47067;0.6054723680148194;60.547236801481944;60.55
paraphrase-MiniLM-L12;open;1NN;57309;0.7372259956776783;73.72259956776783;73.72
paraphrase-MiniLM-L12;open;5NN;66678;0.8577493053411547;85.77493053411547;85.77
paraphrase-MiniLM-L12;open;10NN;68830;0.8854327467325306;88.54327467325305;88.54
paraphrase-MiniLM-L12;open;20NN;70510;0.9070443552536791;90.70443552536791;90.7
paraphrase-MiniLM-L12;source;1NN;56672;0.7290315941134095;72.90315941134095;72.9
paraphrase-MiniLM-L12;source;5NN;65937;0.8482170422970052;84.82170422970053;84.82
paraphrase-MiniLM-L12;source;10NN;68191;0.8772126170628795;87.72126170628795;87.72
paraphrase-MiniLM-L12;source;20NN;69975;0.9001620870639087;90.01620870639087;90.02
paraphrase-MiniLM-L12;title;1NN;28386;0.36515899969126275;36.515899969126274;36.52
paraphrase-MiniLM-L12;title;5NN;34655;0.4458037460121437;44.580374601214366;44.58
paraphrase-MiniLM-L12;title;10NN;36999;0.4759570855202223;47.59570855202223;47.6
paraphrase-MiniLM-L12;title;20NN;39125;0.503306061541628;50.33060615416281;50.33
paraphrase-mpnet;open;1NN;64926;0.8352114850262427;83.52114850262427;83.52
paraphrase-mpnet;open;5NN;71959;0.9256843676031697;92.56843676031697;92.57
paraphrase-mpnet;open;10NN;73346;0.9435268086858084;94.35268086858085;94.35
paraphrase-mpnet;open;20NN;74317;0.9560178038489245;95.60178038489245;95.6
paraphrase-mpnet;source;1NN;64252;0.8265411135124009;82.65411135124009;82.65
paraphrase-mpnet;source;5NN;71489;0.9196382628383246;91.96382628383246;91.96
paraphrase-mpnet;source;10NN;72999;0.9390629824019759;93.9062982401976;93.91
paraphrase-mpnet;source;20NN;74050;0.9525831017803849;95.25831017803849;95.26
paraphrase-mpnet;title;1NN;36207;0.4657687557888237;46.57687557888237;46.58
paraphrase-mpnet;title;5NN;43239;0.5562287743130596;55.62287743130596;55.62
paraphrase-mpnet;title;10NN;45717;0.5881058968817536;58.81058968817536;58.81
paraphrase-mpnet;title;20NN;47805;0.6149660389008953;61.49660389008953;61.5
SONAR;open;1NN;39040;0.5022126170628795;50.22126170628795;50.22
SONAR;open;5NN;46604;0.5995163116188124;59.95163116188124;59.95
SONAR;open;10NN;48997;0.6302999897087579;63.02999897087579;63.03
SONAR;open;20NN;50742;0.6527477616548317;65.27477616548317;65.27
SONAR;source;1NN;40607;0.5223705876299269;52.237058762992696;52.24
SONAR;source;5NN;49942;0.6424565195019039;64.24565195019039;64.25
SONAR;source;10NN;52702;0.677961304929505;67.7961304929505;67.8
SONAR;source;20NN;54874;0.7059020273747041;70.5902027374704;70.59
SONAR;title;1NN;50495;0.6495703406401152;64.95703406401152;64.96
SONAR;title;5NN;55239;0.7105974066069775;71.05974066069774;71.06
SONAR;title;10NN;56403;0.7255711639394875;72.55711639394875;72.56
SONAR;title;20NN;57376;0.738087887207986;73.8087887207986;73.81
