model;type;kNN;successful_finds;recall;recall_percentage;recall_percentage_rounded
LaBSE;source;10NN;67335;0.8662009879592467;86.62009879592468;86.62
LaBSE;source;20NN;69057;0.8883528866934239;88.83528866934239;88.84
LaBSE;title;1NN;52997;0.6817562004733971;68.17562004733972;68.18
LaBSE;title;5NN;59827;0.7696176803540188;76.96176803540187;76.96
LaBSE;title;10NN;61691;0.7935962745703407;79.35962745703407;79.36
LaBSE;title;20NN;63170;0.812622208500566;81.2622208500566;81.26
paraphrase-MiniLM-L12;open;1NN;53838;0.6925748687866625;69.25748687866626;69.26
paraphrase-MiniLM-L12;open;5NN;62948;0.8097663888031286;80.97663888031286;80.98
paraphrase-MiniLM-L12;open;10NN;65276;0.8397139034681486;83.97139034681486;83.97
paraphrase-MiniLM-L12;open;20NN;67214;0.8646444375836163;86.46444375836163;86.46
paraphrase-MiniLM-L12;source;1NN;52814;0.6794020788309149;67.94020788309149;67.94
paraphrase-MiniLM-L12;source;5NN;61931;0.796683647216219;79.6683647216219;79.67
paraphrase-MiniLM-L12;source;10NN;64325;0.8274801893588556;82.74801893588555;82.75
paraphrase-MiniLM-L12;source;20NN;66331;0.8532854790573222;85.32854790573222;85.33
paraphrase-MiniLM-L12;title;1NN;24207;0.3114001234949058;31.140012349490583;31.14
paraphrase-MiniLM-L12;title;5NN;28641;0.3684393331275085;36.84393331275085;36.84
paraphrase-MiniLM-L12;title;10NN;30079;0.3869378408973963;38.69378408973963;38.69
paraphrase-MiniLM-L12;title;20NN;31378;0.4036482453432129;40.36482453432129;40.36
paraphrase-mpnet;open;1NN;64157;0.8253190285067408;82.53190285067407;82.53
paraphrase-mpnet;open;5NN;71119;0.9148785633425954;91.48785633425955;91.49
paraphrase-mpnet;open;10NN;72491;0.9325280436348667;93.25280436348667;93.25
paraphrase-mpnet;open;20NN;73515;0.9457008335906144;94.57008335906144;94.57
paraphrase-mpnet;source;1NN;63237;0.8134841000308737;81.34841000308737;81.35
paraphrase-mpnet;source;5NN;70233;0.9034810126582279;90.34810126582279;90.35
paraphrase-mpnet;source;10NN;71691;0.9222368014819389;92.22368014819389;92.22
paraphrase-mpnet;source;20NN;72833;0.9369275496552434;93.69275496552434;93.69
paraphrase-mpnet;title;1NN;31057;0.39951888442935063;39.951888442935065;39.95
paraphrase-mpnet;title;5NN;36159;0.46515128125964805;46.51512812596481;46.52
paraphrase-mpnet;title;10NN;37744;0.48554080477513634;48.55408047751364;48.55
paraphrase-mpnet;title;20NN;39104;0.5030359164351137;50.30359164351137;50.3
SONAR;open;1NN;27027;0.3476767520839765;34.767675208397655;34.77
SONAR;open;5NN;32246;0.41481424307913967;41.48142430791397;41.48
SONAR;open;10NN;34228;0.44031079551301844;44.03107955130184;44.03
SONAR;open;20NN;36025;0.4634274981990326;46.34274981990326;46.34
SONAR;source;1NN;30233;0.3889189050118349;38.89189050118349;38.89
SONAR;source;5NN;38309;0.49280899454564164;49.280899454564164;49.28
SONAR;source;10NN;40953;0.5268215498610682;52.68215498610682;52.68
SONAR;source;20NN;43450;0.5589430894308943;55.894308943089435;55.89
SONAR;title;1NN;44995;0.5788180508387363;57.88180508387363;57.88
SONAR;title;5NN;49583;0.6378383245857775;63.78383245857775;63.78
SONAR;title;10NN;50811;0.6536353812905218;65.36353812905217;65.36
SONAR;title;20NN;51771;0.6659848718740352;66.59848718740352;66.6
